               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071978,            0.023883,            0.032164,              0.4307,             0.62853,             0.55495,             0.26518,            0.041822,           0.0087056,            0.015586,            0.070101,           0.0033221,           0.0033221
                   1,            0.048861,            0.015106,            0.011342,             0.67531,             0.72565,             0.72423,             0.41135,            0.037894,           0.0065752,            0.010696,            0.040035,           0.0065896,           0.0065896
                   2,              0.0447,            0.012577,           0.0076329,             0.66891,             0.72994,             0.73988,             0.38248,            0.038924,           0.0060482,           0.0065703,           0.0099032,            0.009791,            0.009791
                   3,            0.038841,            0.011461,           0.0067807,             0.82101,             0.80885,             0.87303,             0.55838,            0.029879,           0.0061707,           0.0065392,            0.009703,            0.009703,            0.009703
                   4,            0.035925,            0.010965,           0.0061967,             0.84301,             0.78436,             0.88633,             0.59279,            0.027842,            0.005625,           0.0062915,            0.009703,            0.009703,            0.009703
                   5,            0.033945,            0.010621,           0.0050922,             0.85445,             0.79454,             0.85632,             0.57754,            0.026748,           0.0059131,             0.00854,            0.009604,            0.009604,            0.009604
                   6,            0.032381,            0.010344,           0.0044815,             0.90802,             0.85377,             0.93053,             0.64804,            0.024974,           0.0051561,           0.0029821,            0.009505,            0.009505,            0.009505
                   7,            0.030525,           0.0098716,           0.0039597,             0.90219,             0.84836,             0.90947,             0.63143,            0.024834,           0.0052586,           0.0037634,            0.009406,            0.009406,            0.009406
                   8,             0.02959,           0.0099374,           0.0034583,             0.90611,             0.87907,              0.9186,             0.64664,            0.024627,            0.005225,           0.0028185,            0.009307,            0.009307,            0.009307
                   9,            0.028573,           0.0097714,           0.0035904,             0.88804,             0.90921,              0.9466,             0.65275,            0.023766,           0.0049233,           0.0032092,            0.009208,            0.009208,            0.009208
                  10,            0.027916,           0.0094167,           0.0030347,             0.88506,             0.91562,             0.94207,             0.67108,             0.02396,           0.0048086,           0.0022705,            0.009109,            0.009109,            0.009109
                  11,            0.027263,           0.0092043,           0.0031474,              0.9129,             0.88797,             0.94716,             0.67413,            0.024096,           0.0047324,           0.0023312,             0.00901,             0.00901,             0.00901
                  12,            0.027102,           0.0092344,           0.0031782,             0.91293,             0.88954,             0.93366,             0.67456,             0.02376,           0.0050522,           0.0020329,            0.008911,            0.008911,            0.008911
                  13,            0.026242,           0.0092263,           0.0027802,             0.92604,             0.90003,             0.95242,              0.7044,            0.022162,            0.004607,           0.0023243,            0.008812,            0.008812,            0.008812
                  14,            0.025588,           0.0090149,           0.0024213,             0.94415,              0.9021,             0.95242,             0.69862,            0.022839,           0.0047197,           0.0012985,            0.008713,            0.008713,            0.008713
                  15,            0.025237,           0.0087389,            0.002491,             0.92331,             0.89218,             0.93247,             0.69283,            0.021954,           0.0047059,           0.0031356,            0.008614,            0.008614,            0.008614
                  16,            0.025202,           0.0086867,           0.0023593,             0.92898,             0.90194,             0.95554,             0.72242,            0.021185,           0.0045132,            0.001703,            0.008515,            0.008515,            0.008515
                  17,            0.024877,           0.0087273,           0.0021524,             0.93921,             0.91974,             0.95446,             0.72933,            0.021024,           0.0044825,           0.0013498,            0.008416,            0.008416,            0.008416
                  18,            0.024581,            0.008636,           0.0021247,             0.93185,             0.93036,             0.95323,             0.69888,            0.021773,           0.0044533,           0.0024581,            0.008317,            0.008317,            0.008317
